City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2017-04-13,0.18861255037420843,0.4433742903343838,146.3,0.31655247024882804,59.71,54.53,0.011402753872633392,0.2354490245606492,0.10728697811578457,4.98,22.01,,0.26399999999999996,Very Poor
Delhi,2017-04-14,0.21246977547495685,0.4387120380534211,140.56,0.39718716191849984,65.91,67.47,0.01183304647160069,0.27032837104315577,0.1680117957473227,6.04,29.96,,0.2938181818181818,Severe
Delhi,2017-04-15,0.20308578008059874,0.4053680818667894,156.79,0.36923909123692755,58.09,63.27,0.010757314974182445,0.2299672166388993,0.11054632934968181,6.94,42.03,,0.248,Very Poor
Delhi,2017-04-16,0.20157743235463443,0.48365851067596755,114.73,0.369780021637216,57.91,38.41,0.01204819277108434,0.3363787821787499,0.15555641781778676,8.34,41.02,,0.2923636363636363,Severe
Delhi,2017-04-17,0.16702360391479565,0.4589662783423627,62.73,0.369780021637216,48.4,42.18,0.008067986230636833,0.22776374482721556,0.13743597702933416,5.76,31.63,,0.2829090909090909,Severe
Delhi,2017-04-18,0.175797351755901,0.4728350034819352,56.91,0.3174900829426614,32.95,41.14,0.004302925989672978,0.23722255065298004,0.1111283563557349,5.52,23.71,,0.29163636363636364,Severe
Delhi,2017-04-19,0.1568105929763961,0.42053515574283257,90.13,0.28874864767399927,43.78,50.75,0.007207401032702239,0.22206696404578918,0.12420456309172746,4.79,21.33,,0.28945454545454546,Severe
Delhi,2017-04-20,0.1759700633275763,0.3824345219125857,145.19,0.3358817165524703,64.74,64.48,0.009681583476764202,0.20083839415273821,0.190866056185007,4.42,18.78,,0.27636363636363637,Very Poor
Delhi,2017-04-21,0.14964881980426023,0.48336343141767873,43.34,0.372304363505229,32.82,54.57,0.005808950086058521,0.16558284516579783,0.22058823529411764,2.39,14.76,,0.24945454545454543,Very Poor
Delhi,2017-04-23,0.11889464594127808,0.30763783152154667,69.5,0.2706094482509917,37.43,40.33,0.003012048192771085,0.15795130864728327,0.21670805525376377,1.0,5.6,,0.16727272727272727,Poor
Delhi,2017-04-24,0.11390903857225103,0.31403514984124736,59.96,0.22109628561125136,37.61,34.43,0.011725473321858866,0.17165582845165797,0.16525686791867145,2.04,18.62,,0.19854545454545452,Poor
Delhi,2017-04-25,0.11043177892918826,0.33962442312005003,46.18,0.2509195816804905,44.02,31.0,0.006777108433734941,0.21438168431235555,0.19563867763464224,2.06,14.87,,0.17454545454545453,Poor
Delhi,2017-04-26,0.08307426597582039,0.22345762071692454,69.69,0.2630003606202669,57.76,34.01,0.006777108433734941,0.15725264685333476,0.14973614775725594,1.62,18.82,,0.1658181818181818,Poor
Delhi,2017-04-27,0.1070581462291307,0.31972427794105496,73.82,0.26498377208799134,59.27,37.41,0.00774526678141136,0.2508733272424356,0.1592037870557194,2.0,15.72,,0.152,Poor
Delhi,2017-04-28,0.12573402417962004,0.32076295693023144,61.19,0.24792643346556079,52.75,33.57,0.009251290877796903,0.21266190143494382,0.1305680583579078,2.14,13.35,,0.16654545454545452,Poor
